antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Age_Senior,"Income_High, Spending_Low",0.2209775967413442,0.2759674134419552,0.20672097759674135,0.9354838709677419,3.3898345435067254,1.0,0.14573836179541316,11.222505091649685,0.9049808429118774,0.712280701754386,0.910893335148133,0.8422806808713248
"Income_High, Spending_Low",Age_Senior,0.2759674134419552,0.2209775967413442,0.20672097759674135,0.7490774907749078,3.3898345435067254,1.0,0.14573836179541316,3.1046334012219967,0.9737135651583492,0.712280701754386,0.6779007790077901,0.8422806808713248
Age_Senior,Income_High,0.2209775967413442,0.34012219959266804,0.2209775967413442,1.0,2.9401197604790417,1.0,0.14581821047697663,inf,0.8470588235294118,0.6497005988023951,1.0,0.8248502994011976
Income_High,Age_Senior,0.34012219959266804,0.2209775967413442,0.2209775967413442,0.6497005988023952,2.9401197604790417,1.0,0.14581821047697663,2.2238759204135983,1.0,0.6497005988023951,0.5503346248679112,0.8248502994011976
"Spending_Low, Age_Senior",Income_High,0.20672097759674135,0.34012219959266804,0.20672097759674135,1.0,2.9401197604790417,1.0,0.13641058399459105,inf,0.8318356867779205,0.6077844311377246,1.0,0.8038922155688623
Income_High,"Spending_Low, Age_Senior",0.34012219959266804,0.20672097759674135,0.20672097759674135,0.6077844311377245,2.9401197604790417,1.0,0.13641058399459105,2.0225587288754836,1.0,0.6077844311377246,0.5055767796883768,0.8038922155688623
Age_Senior,Spending_Low,0.2209775967413442,0.3329938900203666,0.20672097759674135,0.9354838709677419,2.809312419848081,1.0,0.13313678805048926,10.33859470468431,0.8267297723687176,0.5953079178885631,0.9032750554050726,0.7781394890006905
Spending_Low,Age_Senior,0.3329938900203666,0.2209775967413442,0.20672097759674135,0.6207951070336392,2.809312419848081,1.0,0.13313678805048926,2.054357466657907,0.9655698868123189,0.5953079178885631,0.5132297975255342,0.7781394890006905
"Income_High, Age_Senior",Spending_Low,0.2209775967413442,0.3329938900203666,0.20672097759674135,0.9354838709677419,2.809312419848081,1.0,0.13313678805048926,10.33859470468431,0.8267297723687176,0.5953079178885631,0.9032750554050726,0.7781394890006905
Spending_Low,"Income_High, Age_Senior",0.3329938900203666,0.2209775967413442,0.20672097759674135,0.6207951070336392,2.809312419848081,1.0,0.13313678805048926,2.054357466657907,0.9655698868123189,0.5953079178885631,0.5132297975255342,0.7781394890006905
Income_Low,"Age_Young, Spending_High",0.33095723014256617,0.1680244399185336,0.15274949083503056,0.4615384615384616,2.746853146853147,1.0,0.09714058760333666,1.5450974687227237,0.9505327245053273,0.4411764705882354,0.35279163920534795,0.6853146853146854
"Age_Young, Spending_High",Income_Low,0.1680244399185336,0.33095723014256617,0.15274949083503056,0.9090909090909092,2.746853146853147,1.0,0.09714058760333666,7.359470468431779,0.7643818849449205,0.4411764705882354,0.8641206586412067,0.6853146853146854
"Spending_High, Income_Low",Age_Young,0.219959266802444,0.26476578411405294,0.15274949083503056,0.6944444444444445,2.6228632478632483,1.0,0.0945118030869293,2.406221070172191,0.7932114882506527,0.4601226993865032,0.5844105878731919,0.6356837606837608
Age_Young,"Spending_High, Income_Low",0.26476578411405294,0.219959266802444,0.15274949083503056,0.576923076923077,2.6228632478632483,1.0,0.0945118030869293,1.8437326421033147,0.8415512465373961,0.4601226993865032,0.4576220124522997,0.6356837606837608
Income_Low,Age_Young,0.33095723014256617,0.26476578411405294,0.22912423625254583,0.6923076923076924,2.6147928994082847,1.0,0.1414980857056342,2.3895112016293285,0.9230509047860646,0.6250000000000001,0.5815043682079695,0.778846153846154
